"speciesCode","comName","sciName","locId","locName","obsDt","howMany","lat","lng","obsValid","obsReviewed","locationPrivate","subId","idu"
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1038082","Lakeside Business Park","2017-04-01 18:40",1,39.7474416,-75.0002182,TRUE,FALSE,TRUE,"S35621856",1
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L92443","Cape Island--CMPSP--Hawkwatch Platform","2017-04-02 19:07",3,38.9328558,-74.9579416,TRUE,FALSE,FALSE,"S35652753",2
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L2333084","E Woodland Ave Yard","2017-04-03 19:58",6,39.096409,-74.8694412,TRUE,FALSE,TRUE,"S36106639",3
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L275261","Stevens Street-yard","2017-04-04 19:25",2,38.9417118,-74.9477327,TRUE,FALSE,TRUE,"S35702110",4
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L738078","Briant Park","2017-04-05 19:19",8,40.7153871,-74.3371868,TRUE,FALSE,FALSE,"S35724274",5
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1128743","Mercer Corporate Park, Robbinsville","2017-04-06 19:28",125,40.1875596,-74.5894003,TRUE,FALSE,FALSE,"S35751134",6
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L766009","BC Fairgrounds/Barker's Brook NRA (old Mercer Sod Farm)","2017-04-07 19:00",50,40.0330652,-74.7325873,TRUE,FALSE,FALSE,"S35771371",7
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L330652","Ocean City Preserve","2017-04-08 19:03",18,39.2611385,-74.6041728,TRUE,FALSE,FALSE,"S35799217",8
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1963449","Little Mantua Creek","2017-04-09 19:25",0,39.837508,-75.2121019,TRUE,FALSE,FALSE,"S35830002",9
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L786203","Halifax Road","2017-04-10 19:13",1,41.0852971,-74.183338,TRUE,FALSE,FALSE,"S35862607",10
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L208783","Great Swamp NWR--Overlook","2017-04-11 19:51",1,40.7133779,-74.5099406,TRUE,FALSE,FALSE,"S35887355",11
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L109136","Cape Island--South Cape May Meadows (SCMM)","2017-04-12 21:10",6,38.9359287,-74.9434519,TRUE,FALSE,FALSE,"S35911069",12
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L450417","Duke Farms IBA","2017-04-13 19:30",10,40.544705,-74.624022,TRUE,FALSE,FALSE,"S35956248",13
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L5701764","Dismal Swamp, brownfield at Helen St.","2017-04-14 19:30",15,40.5610828,-74.4054732,TRUE,FALSE,TRUE,"S35987349",14
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L298497","Pedricktown Marsh (Gloucester Co.)","2017-04-15 19:20",0,39.76435,-75.396967,TRUE,FALSE,FALSE,"S35994078",15
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L4560229","TCNJ lakes","2017-04-16 19:04",3,40.271166,-74.772795,TRUE,FALSE,TRUE,"S36025216",16
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L304199","Double Trouble SP","2017-04-17 18:35",6,39.8972894,-74.2222633,TRUE,FALSE,FALSE,"S36057366",17
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L766898","Allamuchy Mountain SP IBA (Sussex)","2017-04-18 18:35",4,40.9326441,-74.7546673,TRUE,FALSE,FALSE,"S36080958",18
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L197073","Stone Harbor Point","2017-04-19 18:43",2,39.0317999,-74.7723111,TRUE,FALSE,FALSE,"S36106358",19
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L2772303","Greenwich Lake Park","2017-04-20 18:55",5,39.8129535,-75.2902186,TRUE,FALSE,FALSE,"S36130835",20
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1188136","Riverwinds--Nature Trail","2017-04-21 19:25",0,39.8510257,-75.194689,TRUE,FALSE,FALSE,"S36154132",21
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L4326458","Hainesville WMA","2017-04-22 19:00",0,41.2682453,-74.7813778,TRUE,FALSE,FALSE,"S36186748",22
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L272616","Mannington Marsh","2017-04-23 18:53",0,39.6125321,-75.4250026,TRUE,FALSE,FALSE,"S36214036",23
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L5744156","US-New Jersey-Mount Laurel-152-180 Marter Avenue - 39.968x-74.918","2017-04-24 19:23",1,39.9680424,-74.9183075,TRUE,FALSE,TRUE,"S36242535",24
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L477047","Treasure Lake","2017-04-25 18:55",3,40.4483514,-74.2156935,TRUE,FALSE,FALSE,"S36269508",25
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L283551","Glades Wildlife Refuge--Turkey Pt.","2017-04-26 19:36",9,39.2462567,-75.1306433,TRUE,FALSE,FALSE,"S36304658",26
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L766898","Allamuchy Mountain SP IBA (Sussex)","2017-04-27 19:41",5,40.9326441,-74.7546673,TRUE,FALSE,FALSE,"S36319862",27
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L295681","Wallkill River NWR--Wood Duck Trail","2017-04-28 19:55",15,41.1938585,-74.5857215,TRUE,FALSE,FALSE,"S36382365",28
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L290549","Salem River WMA--Mannington East","2017-04-29 20:00",4,39.6063094,-75.408017,TRUE,FALSE,FALSE,"S36821757",29
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L3066903","Home Sidney Rd","2017-04-30 19:42",2,40.5990302,-74.9239683,TRUE,FALSE,TRUE,"S36438573",30
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L275261","Stevens Street-yard","2017-05-01 19:12",2,38.9417118,-74.9477327,TRUE,FALSE,TRUE,"S36467088",31
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L766898","Allamuchy Mountain SP IBA (Sussex)","2017-05-02 20:00",3,40.9326441,-74.7546673,TRUE,FALSE,FALSE,"S36496723",32
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1464594","Great Swamp NWR--Management Area","2017-05-03 20:09",12,40.7010497,-74.5121909,TRUE,FALSE,FALSE,"S36577241",33
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L5786488","US-New Jersey-Whitesbog Trails - 39.964x-74.488 - May 4, 2017 7:43 PM","2017-05-04 19:44",0,39.9636179,-74.4880749,TRUE,FALSE,TRUE,"S36550936",34
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L267674","Cape Island* (Cape May Co. south of the Cape May canal)","2017-05-05 23:13",45,38.9450248,-74.9337747,TRUE,FALSE,FALSE,"S36627294",35
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1842340","Millstone River Impoundment","2017-05-06 20:00",1,40.3398141,-74.6306008,TRUE,FALSE,FALSE,"S36626756",36
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1300483","Cape May NWR--Two Mile Unit","2017-05-07 20:54",2,38.9518672,-74.8578212,TRUE,FALSE,FALSE,"S36639469",37
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L92448","Edwin B. Forsythe NWR--Wildlife Drive (8-mile auto tour loop only)","2017-05-08 18:50",0,39.464298,-74.417612,TRUE,FALSE,FALSE,"S36668855",38
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L211826","Jake's Landing","2017-05-09 21:47",1,39.1795653,-74.8510244,TRUE,FALSE,FALSE,"S36879079",39
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L285931","Tuckahoe WMA (Cape May Co.)","2017-05-10 23:03",2,39.2855132,-74.7241616,TRUE,FALSE,FALSE,"S36725389",40
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L109133","Edwin B. Forsythe NWR (formerly Brig)","2017-05-11 19:38",0,39.465,-74.4477778,TRUE,FALSE,FALSE,"S36961395",41
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L211826","Jake's Landing","2017-05-12 19:28",12,39.1795653,-74.8510244,TRUE,FALSE,FALSE,"S36775772",42
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L3136751","Frog Jump","2017-05-13 19:45",2,41.2304841,-74.6256208,TRUE,FALSE,TRUE,"S36814560",43
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L283551","Glades Wildlife Refuge--Turkey Pt.","2017-05-14 20:10",0,39.2462567,-75.1306433,TRUE,FALSE,FALSE,"S36864170",44
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L275261","Stevens Street-yard","2017-05-15 20:24",8,38.9417118,-74.9477327,TRUE,FALSE,TRUE,"S36891938",45
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1836886","Raccoon Creek","2017-05-16 20:53",10,39.7868096,-75.360899,TRUE,FALSE,FALSE,"S36920808",46
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1128743","Mercer Corporate Park, Robbinsville","2017-05-17 22:10",11,40.1875596,-74.5894003,TRUE,FALSE,FALSE,"S36957964",47
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L4254819","Edwin B. Forsythe NWR--Brick Township  (deCamp WildlifeTrail)","2017-05-18 21:11",5,40.0447831,-74.0868875,TRUE,FALSE,FALSE,"S36971516",48
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L209818","Garret Mountain Reservation (Park)","2017-05-19 20:15",3,40.8995168,-74.1791808,TRUE,FALSE,FALSE,"S36995712",49
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L1835725","Mannington Marsh--Sunset Dr Bridge","2017-05-20 20:00",18,39.6251609,-75.4521335,TRUE,FALSE,FALSE,"S37021336",50
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L249999","Heislerville WMA","2017-05-21 20:25",0,39.2302586,-75.0034046,TRUE,FALSE,FALSE,"S37053700",51
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L766009","BC Fairgrounds/Barker's Brook NRA (old Mercer Sod Farm)","2017-05-22 20:00",50,40.0330652,-74.7325873,TRUE,FALSE,FALSE,"S37077850",52
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L302963","Great Swamp NWR","2017-05-23 19:56",6,40.7138227,-74.463013,TRUE,FALSE,FALSE,"S37102908",53
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L350765","Villas--Cox Hall Creek WMA","2017-05-24 20:10",1,39.0015934,-74.9446321,TRUE,FALSE,FALSE,"S37128600",54
"rewbla","Red-winged Blackbird","Agelaius phoeniceus","L251606","Tenafly Nature Center","2017-05-25 19:01",2,40.922155,-73.9416848,TRUE,FALSE,FALSE,"S37166952",55
